open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
669.27,672.335,661.36,662.29,83073510.0,672.335,661.36,662.29,669.27,97200242.0,1.0,0.0,SPY,ARCX,2026-03-13 00:00:00+00:00
671.16,671.65,665.87,666.06,107906562.0,671.65,665.87,666.06,671.16,108882246.0,1.0,0.0,SPY,ARCX,2026-03-12 00:00:00+00:00
677.58,680.08,673.34,676.33,67758700.0,680.08,673.34,676.33,677.58,68441672.0,1.0,0.0,SPY,ARCX,2026-03-11 00:00:00+00:00
677.72,683.36,674.76,677.18,81381400.0,683.36,674.76,677.18,677.72,81505315.0,1.0,0.0,SPY,ARCX,2026-03-10 00:00:00+00:00
666.39,679.92,662.39,678.27,102334700.0,679.92,662.39,678.27,666.39,102667711.0,1.0,0.0,SPY,ARCX,2026-03-09 00:00:00+00:00
673.41,676.11,669.76,672.38,100509800.0,676.11,669.76,672.38,673.41,100686951.0,1.0,0.0,SPY,ARCX,2026-03-06 00:00:00+00:00
682.08,685.53,675.61,681.31,106241400.0,685.53,675.61,681.31,682.08,106606464.0,1.0,0.0,SPY,ARCX,2026-03-05 00:00:00+00:00
681.63,687.09,679.62,685.13,79045800.0,687.09,679.62,685.13,681.63,79182244.0,1.0,0.0,SPY,ARCX,2026-03-04 00:00:00+00:00
675.06,682.61,669.66,680.33,104737700.0,682.61,669.66,680.33,675.06,105003113.0,1.0,0.0,SPY,ARCX,2026-03-03 00:00:00+00:00
678.7,688.62,678.02,686.38,87245200.0,688.62,678.02,686.38,678.7,87477198.0,1.0,0.0,SPY,ARCX,2026-03-02 00:00:00+00:00
683.09,686.86,681.64,685.99,83105100.0,686.86,681.64,685.99,683.09,83308868.0,1.0,0.0,SPY,ARCX,2026-02-27 00:00:00+00:00
693.28,693.3,684.35,689.3,71311200.0,693.3,684.35,689.3,693.28,71670990.0,1.0,0.0,SPY,ARCX,2026-02-26 00:00:00+00:00
690.18,693.68,690.1,693.15,56153200.0,693.68,690.1,693.15,690.18,56369479.0,1.0,0.0,SPY,ARCX,2026-02-25 00:00:00+00:00
681.9,688.35,680.0,687.35,73717500.0,688.35,680.0,687.35,681.9,73798727.0,1.0,0.0,SPY,ARCX,2026-02-24 00:00:00+00:00
687.83,690.0,680.37,682.39,90421900.0,690.0,680.371,682.39,687.83,90558087.0,1.0,0.0,SPY,ARCX,2026-02-23 00:00:00+00:00
682.32,690.06,681.73,689.43,99952100.0,690.06,681.73,689.43,682.32,100033986.0,1.0,0.0,SPY,ARCX,2026-02-20 00:00:00+00:00
683.84,686.18,681.55,684.48,58530500.0,686.18,681.5475,684.48,683.84,58649363.0,1.0,0.0,SPY,ARCX,2026-02-19 00:00:00+00:00
684.02,689.15,682.83,686.29,73434200.0,689.15,682.83,686.29,684.02,73570341.0,1.0,0.0,SPY,ARCX,2026-02-18 00:00:00+00:00
680.14,684.94,675.78,682.85,81244100.0,684.94,675.78,682.85,680.14,81354660.0,1.0,0.0,SPY,ARCX,2026-02-17 00:00:00+00:00
681.69,686.28,677.52,681.75,96150400.0,686.28,677.52,681.75,681.69,96267487.0,1.0,0.0,SPY,ARCX,2026-02-13 00:00:00+00:00
